species,decimalLatitude,decimalLongitude,year
Ariolimax buttoni,37.89728,-122.70987,2022
Ariolimax buttoni,38.403314,-122.501717,2023
Ariolimax buttoni,38.05822,-122.844195,2023
Ariolimax buttoni,38.038783,-122.878884,2022
Ariolimax buttoni,38.063116,-122.849796,2023
Ariolimax buttoni,38.028606,-122.74427,2023
Ariolimax buttoni,38.058261,-122.844222,2023
Ariolimax buttoni,39.424041,-121.117229,2023
Ariolimax buttoni,38.063133,-122.849775,2023
Ariolimax buttoni,38.053923,-122.837294,2023
Ariolimax buttoni,38.046989,-122.753053,2023
Ariolimax buttoni,38.416795,-122.954955,2023
Ariolimax buttoni,37.821592,-122.173947,2023
Ariolimax buttoni,39.177194,-123.690881,2022
Ariolimax buttoni,38.030121,-122.802345,2023
Ariolimax buttoni,38.537003,-123.006325,2023
Ariolimax buttoni,37.836489,-122.501946,2023
Ariolimax buttoni,37.923758,-122.29013,2023
Ariolimax buttoni,37.923758,-122.29013,2023
Ariolimax buttoni,38.535195,-123.002992,2023
Ariolimax buttoni,37.924787,-122.292105,2023
Ariolimax buttoni,37.946548,-122.572225,2023
Ariolimax buttoni,38.55033,-122.5232,2022
Ariolimax buttoni,37.870798,-122.237843,2023
Ariolimax buttoni,38.205784,-122.75895,2023
Ariolimax buttoni,37.813477,-122.178608,2017
Ariolimax buttoni,38.205914,-122.758645,2023
Ariolimax buttoni,38.543844,-122.527376,2013
Ariolimax buttoni,38.20587,-122.758984,2023
Ariolimax buttoni,38.519388,-122.916313,2023
Ariolimax buttoni,37.797773,-122.160017,2023
Ariolimax buttoni,39.718147,-123.652711,2016
Ariolimax buttoni,38.742722,-122.952095,2022
Ariolimax buttoni,38.499717,-123.092689,2021
Ariolimax buttoni,38.423377,-122.995173,2021
Ariolimax buttoni,37.901474,-122.243588,2023
Ariolimax buttoni,38.579053,-123.306122,2022
Ariolimax buttoni,38.576513,-123.318763,2021
Ariolimax buttoni,39.267558,-123.7873,2022
Ariolimax buttoni,38.505138,-123.070602,2019
Ariolimax buttoni,38.050755,-122.834452,2023
Ariolimax buttoni,38.499363,-123.086761,2021
Ariolimax buttoni,38.433465,-122.550818,2022
Ariolimax buttoni,37.849747,-122.195962,2023
Ariolimax buttoni,38.572924,-123.317007,2022
Ariolimax buttoni,38.500189,-123.086994,2021
Ariolimax buttoni,38.469025,-123.02373,2021
Ariolimax buttoni,38.576738,-123.332337,2021
Ariolimax buttoni,38.404086,-122.497412,2021
Ariolimax buttoni,37.896882,-122.635006,2023
Ariolimax buttoni,38.404158,-122.495492,2021
Ariolimax buttoni,38.482155,-123.123353,2021
Ariolimax buttoni,38.674656,-123.207071,2022
Ariolimax buttoni,38.379733,-122.971917,2022
Ariolimax buttoni,38.571896,-122.939743,2021
Ariolimax buttoni,38.697488,-122.667405,2022
Ariolimax buttoni,38.713861,-123.441933,2023
Ariolimax buttoni,38.708303,-123.428213,2021
Ariolimax buttoni,38.041092,-122.876489,2023
Ariolimax buttoni,38.390175,-122.920178,2022
Ariolimax buttoni,38.029542,-122.827194,2022
Ariolimax buttoni,39.377687,-123.810433,2022
Ariolimax buttoni,38.041094,-122.876511,2023
Ariolimax buttoni,37.809199,-122.176869,2022
Ariolimax buttoni,38.205865,-122.75879,2022
Ariolimax buttoni,38.034939,-122.881881,2023
Ariolimax buttoni,39.33242,-123.788025,2022
Ariolimax buttoni,38.004483,-122.708558,2022
Ariolimax buttoni,38.047378,-122.826317,2022
Ariolimax buttoni,37.794456,-122.143019,2023
Ariolimax buttoni,38.0411,-122.876442,2023
Ariolimax buttoni,38.045222,-122.809172,2022
Ariolimax buttoni,38.555161,-122.442563,2022
Ariolimax buttoni,37.94498,-122.626587,2022
Ariolimax buttoni,38.029067,-122.741287,2023
Ariolimax buttoni,38.412067,-123.015258,2022
Ariolimax buttoni,37.830995,-122.525642,2022
Ariolimax buttoni,38.099767,-122.636095,2023
Ariolimax buttoni,38.579649,-123.328636,2022
Ariolimax buttoni,38.205822,-122.7592,2022
Ariolimax buttoni,38.030803,-122.809364,2022
Ariolimax buttoni,38.035774,-122.801065,2022
Ariolimax buttoni,37.832304,-122.500094,2022
Ariolimax buttoni,38.029936,-122.802931,2022
Ariolimax buttoni,38.20574,-122.761156,2022
Ariolimax buttoni,38.044164,-122.82657,2022
Ariolimax buttoni,38.716444,-123.448097,2023
Ariolimax buttoni,38.412094,-123.014511,2022
Ariolimax buttoni,38.410172,-123.025772,2022
Ariolimax buttoni,38.409558,-123.021233,2022
Ariolimax buttoni,38.409703,-123.022614,2022
