species,decimalLatitude,decimalLongitude,year
Ariolimax columbianus,45.444108,-122.675895,2014
Ariolimax columbianus,48.548172,-123.009174,2006
Ariolimax columbianus,45.434384,-122.674232,2013
Ariolimax columbianus,47.967441,-123.581513,2013
Ariolimax columbianus,48.459812,-122.985833,2012
Ariolimax columbianus,47.657708,-121.889288,2012
Ariolimax columbianus,48.282585,-124.680032,2019
Ariolimax columbianus,48.533497,-122.9693,2021
Ariolimax columbianus,48.70674,-123.415009,2023
Ariolimax columbianus,41.769958,-124.211105,2023
Ariolimax columbianus,44.934885,-123.848765,2021
Ariolimax columbianus,44.010878,-122.965675,2023
Ariolimax columbianus,47.508114,-122.03088,2023
Ariolimax columbianus,47.458205,-123.859712,2022
Ariolimax columbianus,49.508953,-124.69654,2022
Ariolimax columbianus,45.017398,-123.995324,2023
Ariolimax columbianus,46.328281,-124.026127,2023
Ariolimax columbianus,49.392247,-123.358208,2022
Ariolimax columbianus,48.813245,-125.17575,2022
Ariolimax columbianus,48.813197,-125.175833,2022
Ariolimax columbianus,48.488873,-123.340246,2023
Ariolimax columbianus,44.007542,-123.107978,2023
Ariolimax columbianus,48.495163,-123.338088,2023
Ariolimax columbianus,49.400678,-122.446822,2022
Ariolimax columbianus,45.258778,-122.853937,2023
Ariolimax columbianus,46.329632,-124.025328,2023
Ariolimax columbianus,41.139858,-124.147055,2023
Ariolimax columbianus,40.689792,-124.135025,2020
Ariolimax columbianus,48.537547,-123.5009,2023
Ariolimax columbianus,47.081467,-122.97702,2022
Ariolimax columbianus,42.844947,-124.543887,2023
Ariolimax columbianus,47.86177,-123.93438,2022
Ariolimax columbianus,48.537728,-123.501,2023
Ariolimax columbianus,49.359075,-123.027328,2019
Ariolimax columbianus,48.520767,-123.411527,2023
Ariolimax columbianus,43.924564,-124.111686,2021
Ariolimax columbianus,47.662853,-122.425513,2022
Ariolimax columbianus,47.69498,-122.404172,2016
Ariolimax columbianus,41.226727,-124.105171,2022
Ariolimax columbianus,49.100906,-125.872038,2022
Ariolimax columbianus,45.50288,-122.69922,2019
Ariolimax columbianus,46.712849,-122.94803,2022
Ariolimax columbianus,41.036851,-124.116662,2020
Ariolimax columbianus,46.322647,-124.032671,2022
Ariolimax columbianus,40.042697,-124.075378,2022
Ariolimax columbianus,45.364072,-123.966513,2022
Ariolimax columbianus,46.322444,-124.033131,2022
Ariolimax columbianus,41.139645,-124.14788,2022
Ariolimax columbianus,40.671495,-124.125236,2019
Ariolimax columbianus,46.034439,-123.369713,2022
Ariolimax columbianus,41.054457,-124.14974,2022
Ariolimax columbianus,43.395663,-123.370583,2022
Ariolimax columbianus,42.262273,-123.448871,2022
Ariolimax columbianus,41.525886,-124.07885,2022
Ariolimax columbianus,40.0426,-124.07518,2022
Ariolimax columbianus,41.130336,-124.16355,2022
Ariolimax columbianus,40.943778,-124.118916,2022
Ariolimax columbianus,41.305637,-124.020417,2022
Ariolimax columbianus,40.347567,-123.956613,2022
Ariolimax columbianus,40.690842,-124.13578,2019
