species,decimalLatitude,decimalLongitude,year
Ariolimax dolichophallus,36.997349,-122.062311,2023
Ariolimax dolichophallus,36.996074,-122.05799,2023
Ariolimax dolichophallus,36.996612,-122.056428,2023
Ariolimax dolichophallus,37.075664,-121.993142,2023
Ariolimax dolichophallus,36.997517,-121.991112,2023
Ariolimax dolichophallus,36.997303,-122.057525,2023
Ariolimax dolichophallus,36.996353,-122.064995,2023
Ariolimax dolichophallus,37.050267,-122.128608,2022
Ariolimax dolichophallus,36.9987,-122.05815,2023
Ariolimax dolichophallus,36.998142,-122.0577,2023
Ariolimax dolichophallus,37.024883,-122.053208,2023
Ariolimax dolichophallus,37.051072,-122.083297,2022
Ariolimax dolichophallus,36.996605,-121.86528,2023
Ariolimax dolichophallus,37.05582,-122.092139,2022
Ariolimax dolichophallus,36.99615,-121.866333,2023
Ariolimax dolichophallus,37.055481,-122.091933,2022
Ariolimax dolichophallus,37.011636,-122.055472,2022
Ariolimax dolichophallus,37.06527,-122.033561,2022
Ariolimax dolichophallus,37.041656,-122.128175,2022
Ariolimax dolichophallus,37.042103,-122.1279,2022
Ariolimax dolichophallus,37.013297,-122.050392,2022
Ariolimax dolichophallus,37.069881,-122.034119,2021
Ariolimax dolichophallus,37.054328,-122.090989,2022
Ariolimax dolichophallus,37.017222,-121.905556,2022
Ariolimax dolichophallus,37.071593,-122.03405,2020
Ariolimax dolichophallus,37.06992,-122.034242,2022
Ariolimax dolichophallus,37.031936,-122.055564,2022
Ariolimax dolichophallus,37.021758,-121.904883,2022
Ariolimax dolichophallus,37.070053,-122.034217,2021
Ariolimax dolichophallus,37.013122,-121.906119,2022
Ariolimax dolichophallus,37.017167,-121.905456,2022
Ariolimax dolichophallus,37.026653,-122.023094,2022
Ariolimax dolichophallus,37.07,-122.034217,2021
Ariolimax dolichophallus,37.015186,-121.905106,2022
Ariolimax dolichophallus,37.017322,-121.905364,2022
Ariolimax dolichophallus,37.035739,-122.059128,2022
Ariolimax dolichophallus,37.009303,-121.906053,2022
Ariolimax dolichophallus,37.06997,-122.03408,2021
Ariolimax dolichophallus,37.015214,-121.905428,2022
Ariolimax dolichophallus,37.069878,-122.034469,2021
Ariolimax dolichophallus,37.002731,-121.906364,2022
Ariolimax dolichophallus,37.051712,-122.085274,2022
Ariolimax dolichophallus,36.99158,-121.90708,2022
Ariolimax dolichophallus,37.013161,-121.906237,2022
Ariolimax dolichophallus,37.037411,-121.892472,2020
Ariolimax dolichophallus,37.010753,-121.906242,2022
Ariolimax dolichophallus,37.012333,-121.90635,2022
Ariolimax dolichophallus,37.033528,-122.0597,2022
Ariolimax dolichophallus,37.05933,-122.093246,2022
Ariolimax dolichophallus,36.99628,-122.05583,2022
Ariolimax dolichophallus,37.131386,-122.101478,2022
Ariolimax dolichophallus,37.06056,-122.093482,2022
Ariolimax dolichophallus,36.999763,-122.063439,2022
Ariolimax dolichophallus,37.047722,-121.893883,2022
Ariolimax dolichophallus,36.987086,-121.907417,2020
Ariolimax dolichophallus,36.996545,-121.906258,2022
Ariolimax dolichophallus,36.987522,-121.906944,2020
Ariolimax dolichophallus,37.042189,-121.888696,2020
Ariolimax dolichophallus,36.986066,-121.906149,2020
Ariolimax dolichophallus,37.053739,-121.893485,2021
Ariolimax dolichophallus,36.9985,-121.906853,2021
Ariolimax dolichophallus,36.980153,-121.902717,2022
Ariolimax dolichophallus,36.986739,-121.908644,2020
Ariolimax dolichophallus,36.996178,-122.059075,2022
Ariolimax dolichophallus,37.078238,-121.895721,2020
Ariolimax dolichophallus,37.008603,-121.914887,2022
Ariolimax dolichophallus,37.048406,-121.886275,2022
Ariolimax dolichophallus,36.995156,-121.908538,2022
Ariolimax dolichophallus,36.990387,-121.905326,2022
Ariolimax dolichophallus,37.019822,-121.880195,2022
Ariolimax dolichophallus,37.085812,-121.869485,2021
Ariolimax dolichophallus,37.010742,-121.904817,2022
Ariolimax dolichophallus,36.986886,-121.907289,2020
Ariolimax dolichophallus,36.984192,-121.904861,2021
Ariolimax dolichophallus,36.99336,-121.904191,2022
Ariolimax dolichophallus,36.998017,-121.909568,2022
Ariolimax dolichophallus,36.998475,-121.907463,2022
Ariolimax dolichophallus,37.020146,-121.90602,2022
Ariolimax dolichophallus,36.998569,-121.900649,2018
Ariolimax dolichophallus,36.986856,-121.907783,2020
Ariolimax dolichophallus,36.991969,-121.907716,2021
Ariolimax dolichophallus,36.991939,-121.907795,2022
Ariolimax dolichophallus,36.986692,-121.908775,2020
Ariolimax dolichophallus,37.023064,-121.872708,2021
Ariolimax dolichophallus,37.025882,-121.902565,2021
Ariolimax dolichophallus,36.988303,-121.908614,2020
Ariolimax dolichophallus,37.02927,-122.0514,2022
Ariolimax dolichophallus,37.016805,-122.037967,2022
Ariolimax dolichophallus,36.987533,-121.90753,2022
Ariolimax dolichophallus,37.031783,-122.05548,2022
Ariolimax dolichophallus,37.031047,-122.054864,2022
Ariolimax dolichophallus,36.996012,-121.908403,2022
Ariolimax dolichophallus,37.048042,-121.883705,2022
Ariolimax dolichophallus,37.080315,-122.121097,2022
Ariolimax dolichophallus,37.080315,-122.121097,2022
Ariolimax dolichophallus,37.031722,-122.062194,2022
Ariolimax dolichophallus,37.051489,-122.085051,2022
Ariolimax dolichophallus,37.042672,-122.125319,2022
Ariolimax dolichophallus,37.051242,-122.085159,2022
Ariolimax dolichophallus,37.051242,-122.085159,2022
Ariolimax dolichophallus,37.051489,-122.085051,2022
Ariolimax dolichophallus,37.060661,-122.094003,2022
Ariolimax dolichophallus,37.038922,-122.062844,2022
Ariolimax dolichophallus,37.036564,-122.059508,2022
Ariolimax dolichophallus,36.999638,-122.068606,2022
Ariolimax dolichophallus,36.996967,-122.064994,2022
Ariolimax dolichophallus,37.000246,-122.06881,2022
Ariolimax dolichophallus,37.001882,-122.069749,2022
Ariolimax dolichophallus,37.035939,-122.060464,2022
Ariolimax dolichophallus,36.996892,-122.063836,2022
Ariolimax dolichophallus,37.041835,-122.068075,2022
Ariolimax dolichophallus,37.059434,-122.093906,2022
Ariolimax dolichophallus,36.999784,-122.068644,2022
Ariolimax dolichophallus,36.999517,-122.068524,2022
Ariolimax dolichophallus,36.998605,-122.068254,2022
Ariolimax dolichophallus,36.996097,-122.059044,2022
Ariolimax dolichophallus,37.001384,-122.069279,2022
Ariolimax dolichophallus,36.99883,-122.055271,2022
Ariolimax dolichophallus,37.00129,-122.069278,2022
Ariolimax dolichophallus,37.000095,-122.068763,2022
Ariolimax dolichophallus,36.999704,-122.068314,2022
Ariolimax dolichophallus,37.038186,-122.060258,2022
Ariolimax dolichophallus,36.996953,-122.063558,2022
Ariolimax dolichophallus,36.999739,-122.068642,2022
Ariolimax dolichophallus,36.999402,-122.068417,2022
Ariolimax dolichophallus,36.996329,-122.055851,2022
Ariolimax dolichophallus,37.084393,-122.090493,2022
Ariolimax dolichophallus,37.057767,-122.094703,2022
Ariolimax dolichophallus,37.080795,-122.09063,2022
Ariolimax dolichophallus,36.992042,-122.063714,2022
Ariolimax dolichophallus,36.999686,-122.068554,2022
Ariolimax dolichophallus,37.057251,-122.091034,2021
Ariolimax dolichophallus,36.990769,-122.048765,2019
Ariolimax dolichophallus,36.991133,-121.9095,2022
Ariolimax dolichophallus,37.028003,-121.925942,2022
Ariolimax dolichophallus,37.017258,-121.932778,2022
Ariolimax dolichophallus,37.054303,-122.096694,2022
Ariolimax dolichophallus,36.981509,-121.905365,2022
Ariolimax dolichophallus,37.039406,-121.902633,2022
Ariolimax dolichophallus,37.032622,-121.902,2022
Ariolimax dolichophallus,37.056526,-122.083268,2022
Ariolimax dolichophallus,37.043014,-122.124686,2022
Ariolimax dolichophallus,36.992858,-121.907174,2022
Ariolimax dolichophallus,36.998128,-121.906517,2022
Ariolimax dolichophallus,37.037708,-122.059997,2022
Ariolimax dolichophallus,37.008367,-121.979317,2022
Ariolimax dolichophallus,37.047508,-122.126244,2022
Ariolimax dolichophallus,37.05217,-122.087722,2022
Ariolimax dolichophallus,36.998477,-122.044258,2022
Ariolimax dolichophallus,37.038031,-122.062945,2021
Ariolimax dolichophallus,36.986933,-121.908088,2022
Ariolimax dolichophallus,37.054776,-121.888495,2022
Ariolimax dolichophallus,36.993331,-122.042313,2022
Ariolimax dolichophallus,37.047153,-122.12639,2022
Ariolimax dolichophallus,37.02237,-122.055099,2022
Ariolimax dolichophallus,36.996948,-122.055901,2022
Ariolimax dolichophallus,37.033397,-121.902253,2022
Ariolimax dolichophallus,37.029645,-122.055594,2022
Ariolimax dolichophallus,37.079614,-122.086983,2022
Ariolimax dolichophallus,37.03728,-122.061283,2022
Ariolimax dolichophallus,37.03639,-122.063068,2022
Ariolimax dolichophallus,36.998245,-121.907075,2022
Ariolimax dolichophallus,37.033403,-121.902113,2022
Ariolimax dolichophallus,37.067408,-122.099205,2022
Ariolimax dolichophallus,37.052191,-122.088398,2022
Ariolimax dolichophallus,37.042591,-122.126431,2022
Ariolimax dolichophallus,37.033189,-122.0597,2022
Ariolimax dolichophallus,37.051952,-122.087004,2022
Ariolimax dolichophallus,37.052191,-122.088398,2022
Ariolimax dolichophallus,37.08868,-122.135161,2022
Ariolimax dolichophallus,37.050804,-122.083661,2022
Ariolimax dolichophallus,37.049974,-122.050832,2022
Ariolimax dolichophallus,37.050804,-122.083661,2022
Ariolimax dolichophallus,36.996722,-122.064574,2022
Ariolimax dolichophallus,37.084442,-122.091775,2022
Ariolimax dolichophallus,37.076306,-122.000099,2022
Ariolimax dolichophallus,37.03117,-122.049661,2022
