species,decimalLatitude,decimalLongitude,year
Ariolimax stramineus,36.473862,-121.853522,2022
Ariolimax stramineus,36.250442,-121.787195,2023
Ariolimax stramineus,34.460961,-119.691719,2011
Ariolimax stramineus,36.252647,-121.783828,2022
Ariolimax stramineus,36.250411,-121.787523,2018
Ariolimax stramineus,36.499695,-121.762908,2022
Ariolimax stramineus,36.255877,-121.782917,2022
Ariolimax stramineus,33.995976,-119.716745,2022
Ariolimax stramineus,35.83155,-121.341317,2022
Ariolimax stramineus,35.83155,-121.341317,2022
Ariolimax stramineus,34.527028,-119.794022,2022
Ariolimax stramineus,34.006358,-120.091408,2022
Ariolimax stramineus,34.011386,-120.095516,2022
Ariolimax stramineus,34.008458,-120.092095,2022
Ariolimax stramineus,36.076908,-121.597437,2022
Ariolimax stramineus,36.077031,-121.592592,2021
Ariolimax stramineus,36.014375,-121.516062,2022
Ariolimax stramineus,34.536506,-119.796189,2021
Ariolimax stramineus,34.536286,-119.79615,2022
Ariolimax stramineus,36.252197,-121.78917,2019
Ariolimax stramineus,34.472389,-120.096832,2022
Ariolimax stramineus,34.468792,-119.622773,2022
Ariolimax stramineus,34.007519,-120.091897,2021
Ariolimax stramineus,36.074915,-121.599415,2022
Ariolimax stramineus,36.030839,-121.480688,2022
Ariolimax stramineus,34.005797,-120.091459,2022
Ariolimax stramineus,33.99398,-119.719128,2022
Ariolimax stramineus,33.994025,-119.719108,2022
Ariolimax stramineus,34.01085,-120.093896,2022
Ariolimax stramineus,33.99403,-119.719138,2022
Ariolimax stramineus,33.976422,-120.084503,2022
Ariolimax stramineus,33.969555,-119.707588,2022
Ariolimax stramineus,35.858738,-121.384675,2022
Ariolimax stramineus,35.793809,-121.277291,2022
Ariolimax stramineus,36.178458,-121.692405,2022
Ariolimax stramineus,36.181329,-121.689653,2022
Ariolimax stramineus,36.250467,-121.78762,2022
Ariolimax stramineus,36.249805,-121.779372,2022
Ariolimax stramineus,36.241492,-121.731128,2021
Ariolimax stramineus,34.534612,-119.95842,2022
Ariolimax stramineus,36.453165,-121.812398,2021
Ariolimax stramineus,36.4577,-121.742788,2022
Ariolimax stramineus,34.510027,-119.756661,2021
Ariolimax stramineus,34.753423,-120.061956,2021
Ariolimax stramineus,36.183722,-121.681122,2021
Ariolimax stramineus,34.4696,-119.707633,2021
Ariolimax stramineus,36.18138,-121.68268,2021
Ariolimax stramineus,36.180928,-121.685861,2021
Ariolimax stramineus,36.24517,-121.762925,2021
Ariolimax stramineus,34.492866,-120.09424,2021
Ariolimax stramineus,35.821605,-121.34935,2021
Ariolimax stramineus,34.739632,-119.96793,2021
Ariolimax stramineus,36.252772,-121.788963,2018
Ariolimax stramineus,35.815674,-121.358223,2021
Ariolimax stramineus,35.815759,-121.35692,2021
Ariolimax stramineus,35.816126,-121.356638,2021
Ariolimax stramineus,35.897953,-121.459672,2021
Ariolimax stramineus,35.781842,-121.33158,2021
Ariolimax stramineus,34.734597,-119.966136,2021
Ariolimax stramineus,36.246905,-121.76642,2021
Ariolimax stramineus,35.82156,-121.348841,2021
Ariolimax stramineus,36.110142,-121.611626,2021
Ariolimax stramineus,36.251842,-121.784783,2021
Ariolimax stramineus,36.183472,-121.681491,2021
Ariolimax stramineus,34.010808,-120.095475,2018
Ariolimax stramineus,34.004689,-120.091308,2018
Ariolimax stramineus,36.288753,-121.839067,2021
Ariolimax stramineus,36.280175,-121.830072,2021
Ariolimax stramineus,35.81634,-121.356867,2021
Ariolimax stramineus,36.249867,-121.788047,2021
Ariolimax stramineus,34.534618,-120.062712,2021
Ariolimax stramineus,34.010791,-120.09669,2017
Ariolimax stramineus,35.815953,-121.356752,2021
Ariolimax stramineus,36.250572,-121.788155,2020
Ariolimax stramineus,35.894796,-121.455076,2020
Ariolimax stramineus,36.373677,-121.898877,2020
Ariolimax stramineus,34.736186,-119.966466,2020
Ariolimax stramineus,34.48989,-119.716308,2020
Ariolimax stramineus,34.470545,-119.617303,2020
Ariolimax stramineus,34.528788,-119.955519,2020
Ariolimax stramineus,34.529464,-119.95591,2020
Ariolimax stramineus,34.73754,-119.967067,2020
Ariolimax stramineus,34.529491,-119.955888,2020
Ariolimax stramineus,34.511172,-119.813575,2019
Ariolimax stramineus,34.528334,-119.953653,2019
Ariolimax stramineus,34.527427,-119.95205,2019
Ariolimax stramineus,36.251107,-121.788908,2018
Ariolimax stramineus,36.513928,-121.937912,2020
Ariolimax stramineus,34.738425,-119.968728,2020
Ariolimax stramineus,35.269275,-120.482012,2020
Ariolimax stramineus,34.465016,-119.658958,2020
Ariolimax stramineus,36.076778,-121.594597,2019
Ariolimax stramineus,36.253326,-121.791695,2016
Ariolimax stramineus,36.170569,-121.671498,2013
Ariolimax stramineus,35.821826,-121.347765,2020
Ariolimax stramineus,34.471508,-119.688883,2019
Ariolimax stramineus,35.814553,-121.351958,2020
Ariolimax stramineus,36.250473,-121.785551,2019
Ariolimax stramineus,36.250468,-121.785409,2019
Ariolimax stramineus,36.249468,-121.784365,2019
Ariolimax stramineus,34.5362,-119.7959,2014
Ariolimax stramineus,34.464956,-119.65925,2019
Ariolimax stramineus,36.008929,-121.518564,2018
Ariolimax stramineus,34.459347,-119.691202,2016
Ariolimax stramineus,36.02994,-121.524635,2011
